industry_code,Variable
D,Salaries and wages paid
D,"Sales, government funding, grants and subsidies"
D,Total income
D,Total expenditure
D,Operating profit before tax
D,Total assets
D,Fixed tangible assets
D,Activity unit
D,Rolling mean employees
D,Salaries and wages paid
D,"Sales, government funding, grants and subsidies"
D,Total income
D,Total expenditure
D,Operating profit before tax
D,Total assets
D,Fixed tangible assets
D,Activity unit
D,Rolling mean employees
D,Salaries and wages paid
D,"Sales, government funding, grants and subsidies"
D,Total income
D,Total expenditure
D,Operating profit before tax
D,Total assets
D,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
H,Activity unit
