industry_code,Variable
N,Total expenditure
N,Operating profit before tax
N,Total assets
N,Fixed tangible assets
N,Activity unit
N,Rolling mean employees
N,Salaries and wages paid
N,"Sales, government funding, grants and subsidies"
N,Total income
N,Total expenditure
N,Operating profit before tax
N,Total assets
N,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
O,Activity unit
O,Rolling mean employees
O,Salaries and wages paid
O,"Sales, government funding, grants and subsidies"
O,Total income
O,Total expenditure
O,Operating profit before tax
O,Total assets
O,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
P,Activity unit
P,Rolling mean employees
P,Salaries and wages paid
P,"Sales, government funding, grants and subsidies"
P,Total income
P,Total expenditure
P,Operating profit before tax
P,Total assets
P,Fixed tangible assets
Q,Activity unit
Q,Rolling mean employees
Q,Salaries and wages paid
Q,"Sales, government funding, grants and subsidies"
Q,Total income
Q,Total expenditure
Q,Operating profit before tax
Q,Total assets
Q,Fixed tangible assets
Q,Activity unit
Q,Rolling mean employees
Q,Salaries and wages paid
Q,"Sales, government funding, grants and subsidies"
Q,Total income
Q,Total expenditure
Q,Operating profit before tax
Q,Total assets
Q,Fixed tangible assets
Q,Activity unit
Q,Rolling mean employees
Q,Salaries and wages paid
Q,"Sales, government funding, grants and subsidies"
Q,Total income
Q,Total expenditure
Q,Operating profit before tax
Q,Total assets
Q,Fixed tangible assets
Q,Activity unit
Q,Rolling mean employees
Q,Salaries and wages paid
Q,"Sales, government funding, grants and subsidies"
Q,Total income
Q,Total expenditure
Q,Operating profit before tax
Q,Total assets
Q,Fixed tangible assets
Q,Activity unit
Q,Rolling mean employees
Q,Salaries and wages paid
Q,"Sales, government funding, grants and subsidies"
Q,Total income
Q,Total expenditure
Q,Operating profit before tax
Q,Total assets
Q,Fixed tangible assets
Q,Activity unit
Q,Rolling mean employees
Q,Salaries and wages paid
Q,"Sales, government funding, grants and subsidies"
Q,Total income
Q,Total expenditure
Q,Operating profit before tax
Q,Total assets
Q,Fixed tangible assets
Q,Activity unit
Q,Rolling mean employees
Q,Salaries and wages paid
Q,"Sales, government funding, grants and subsidies"
Q,Total income
Q,Total expenditure
Q,Operating profit before tax
Q,Total assets
Q,Fixed tangible assets
Q,Activity unit
Q,Rolling mean employees
Q,Salaries and wages paid
Q,"Sales, government funding, grants and subsidies"
Q,Total income
Q,Total expenditure
Q,Operating profit before tax
Q,Total assets
Q,Fixed tangible assets
Q,Activity unit
Q,Rolling mean employees
Q,Salaries and wages paid
Q,"Sales, government funding, grants and subsidies"
Q,Total income
Q,Total expenditure
Q,Operating profit before tax
Q,Total assets
Q,Fixed tangible assets
R,Activity unit
R,Rolling mean employees
R,Salaries and wages paid
R,"Sales, government funding, grants and subsidies"
R,Total income
R,Total expenditure
R,Operating profit before tax
R,Total assets
R,Fixed tangible assets
R,Activity unit
R,Rolling mean employees
R,Salaries and wages paid
R,"Sales, government funding, grants and subsidies"
R,Total income
R,Total expenditure
R,Operating profit before tax
R,Total assets
R,Fixed tangible assets
R,Activity unit
R,Rolling mean employees
R,Salaries and wages paid
R,"Sales, government funding, grants and subsidies"
R,Total income
R,Total expenditure
R,Operating profit before tax
R,Total assets
R,Fixed tangible assets
R,Activity unit
R,Rolling mean employees
R,Salaries and wages paid
R,"Sales, government funding, grants and subsidies"
R,Total income
R,Total expenditure
R,Operating profit before tax
R,Total assets
R,Fixed tangible assets
R,Activity unit
R,Rolling mean employees
R,Salaries and wages paid
R,"Sales, government funding, grants and subsidies"
R,Total income
R,Total expenditure
R,Operating profit before tax
R,Total assets
R,Fixed tangible assets
R,Activity unit
R,Rolling mean employees
R,Salaries and wages paid
R,"Sales, government funding, grants and subsidies"
R,Total income
R,Total expenditure
R,Operating profit before tax
R,Total assets
R,Fixed tangible assets
R,Activity unit
R,Rolling mean employees
R,Salaries and wages paid
R,"Sales, government funding, grants and subsidies"
R,Total income
R,Total expenditure
R,Operating profit before tax
R,Total assets
R,Fixed tangible assets
R,Activity unit
R,Rolling mean employees
R,Salaries and wages paid
R,"Sales, government funding, grants and subsidies"
R,Total income
R,Total expenditure
R,Operating profit before tax
R,Total assets
R,Fixed tangible assets
R,Activity unit
R,Rolling mean employees
R,Salaries and wages paid
R,"Sales, government funding, grants and subsidies"
R,Total income
R,Total expenditure
R,Operating profit before tax
R,Total assets
R,Fixed tangible assets
S,Activity unit
S,Rolling mean employees
S,Salaries and wages paid
S,"Sales, government funding, grants and subsidies"
S,Total income
S,Total expenditure
S,Operating profit before tax
S,Total assets
S,Fixed tangible assets
S,Activity unit
S,Rolling mean employees
S,Salaries and wages paid
S,"Sales, government funding, grants and subsidies"
S,Total income
S,Total expenditure
S,Operating profit before tax
S,Total assets
S,Fixed tangible assets
S,Activity unit
S,Rolling mean employees
S,Salaries and wages paid
S,"Sales, government funding, grants and subsidies"
S,Total income
S,Total expenditure
S,Operating profit before tax
S,Total assets
S,Fixed tangible assets
S,Activity unit
S,Rolling mean employees
S,Salaries and wages paid
S,"Sales, government funding, grants and subsidies"
S,Total income
S,Total expenditure
S,Operating profit before tax
S,Total assets
S,Fixed tangible assets
S,Activity unit
S,Rolling mean employees
S,Salaries and wages paid
S,"Sales, government funding, grants and subsidies"
S,Total income
S,Total expenditure
S,Operating profit before tax
S,Total assets
S,Fixed tangible assets
S,Activity unit
S,Rolling mean employees
S,Salaries and wages paid
S,"Sales, government funding, grants and subsidies"
S,Total income
S,Total expenditure
S,Operating profit before tax
S,Total assets
S,Fixed tangible assets
S,Activity unit
S,Rolling mean employees
S,Salaries and wages paid
S,"Sales, government funding, grants and subsidies"
S,Total income
S,Total expenditure
S,Operating profit before tax
S,Total assets
S,Fixed tangible assets
S,Activity unit
S,Rolling mean employees
S,Salaries and wages paid
S,"Sales, government funding, grants and subsidies"
S,Total income
S,Total expenditure
S,Operating profit before tax
S,Total assets
S,Fixed tangible assets
S,Activity unit
S,Rolling mean employees
S,Salaries and wages paid
S,"Sales, government funding, grants and subsidies"
S,Total income
S,Total expenditure
S,Operating profit before tax
S,Total assets
S,Fixed tangible assets
all,Activity unit
all,Rolling mean employees
all,Salaries and wages paid
all,"Sales, government funding, grants and subsidies"
all,Total income
all,Total expenditure
all,Operating profit before tax
all,Total assets
all,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
A,Activity unit
A,Rolling mean employees
A,Salaries and wages paid
A,"Sales, government funding, grants and subsidies"
A,Total income
A,Total expenditure
A,Operating profit before tax
A,Total assets
A,Fixed tangible assets
B,Activity unit
B,Rolling mean employees
B,Salaries and wages paid
B,"Sales, government funding, grants and subsidies"
B,Total income
B,Total expenditure
B,Operating profit before tax
B,Total assets
B,Fixed tangible assets
B,Activity unit
B,Rolling mean employees
B,Salaries and wages paid
B,"Sales, government funding, grants and subsidies"
B,Total income
B,Total expenditure
B,Operating profit before tax
B,Total assets
B,Fixed tangible assets
B,Activity unit
B,Rolling mean employees
B,Salaries and wages paid
B,"Sales, government funding, grants and subsidies"
B,Total income
B,Total expenditure
B,Operating profit before tax
B,Total assets
B,Fixed tangible assets
B,Activity unit
B,Rolling mean employees
B,Salaries and wages paid
B,"Sales, government funding, grants and subsidies"
B,Total income
B,Total expenditure
B,Operating profit before tax
B,Total assets
B,Fixed tangible assets
B,Activity unit
B,Rolling mean employees
B,Salaries and wages paid
B,"Sales, government funding, grants and subsidies"
B,Total income
B,Total expenditure
B,Operating profit before tax
B,Total assets
B,Fixed tangible assets
B,Activity unit
B,Rolling mean employees
B,Salaries and wages paid
B,"Sales, government funding, grants and subsidies"
B,Total income
B,Total expenditure
B,Operating profit before tax
B,Total assets
B,Fixed tangible assets
B,Activity unit
B,Rolling mean employees
B,Salaries and wages paid
B,"Sales, government funding, grants and subsidies"
B,Total income
B,Total expenditure
B,Operating profit before tax
B,Total assets
B,Fixed tangible assets
B,Activity unit
B,Rolling mean employees
B,Salaries and wages paid
B,"Sales, government funding, grants and subsidies"
B,Total income
B,Total expenditure
B,Operating profit before tax
B,Total assets
B,Fixed tangible assets
B,Activity unit
B,Rolling mean employees
B,Salaries and wages paid
B,"Sales, government funding, grants and subsidies"
B,Total income
B,Total expenditure
B,Operating profit before tax
B,Total assets
B,Fixed tangible assets
C,Activity unit
C,Rolling mean employees
C,Salaries and wages paid
C,"Sales, government funding, grants and subsidies"
C,Total income
C,Total expenditure
C,Operating profit before tax
C,Total assets
C,Fixed tangible assets
C,Activity unit
C,Rolling mean employees
C,Salaries and wages paid
C,"Sales, government funding, grants and subsidies"
C,Total income
C,Total expenditure
C,Operating profit before tax
C,Total assets
C,Fixed tangible assets
C,Activity unit
C,Rolling mean employees
C,Salaries and wages paid
C,"Sales, government funding, grants and subsidies"
C,Total income
C,Total expenditure
C,Operating profit before tax
C,Total assets
C,Fixed tangible assets
C,Activity unit
C,Rolling mean employees
C,Salaries and wages paid
C,"Sales, government funding, grants and subsidies"
C,Total income
C,Total expenditure
C,Operating profit before tax
C,Total assets
C,Fixed tangible assets
C,Activity unit
C,Rolling mean employees
C,Salaries and wages paid
C,"Sales, government funding, grants and subsidies"
C,Total income
C,Total expenditure
C,Operating profit before tax
C,Total assets
C,Fixed tangible assets
C,Activity unit
C,Rolling mean employees
C,Salaries and wages paid
C,"Sales, government funding, grants and subsidies"
C,Total income
C,Total expenditure
C,Operating profit before tax
C,Total assets
C,Fixed tangible assets
C,Activity unit
C,Rolling mean employees
C,Salaries and wages paid
C,"Sales, government funding, grants and subsidies"
C,Total income
C,Total expenditure
C,Operating profit before tax
C,Total assets
C,Fixed tangible assets
C,Activity unit
C,Rolling mean employees
C,Salaries and wages paid
C,"Sales, government funding, grants and subsidies"
C,Total income
C,Total expenditure
C,Operating profit before tax
C,Total assets
C,Fixed tangible assets
C,Activity unit
C,Rolling mean employees
C,Salaries and wages paid
C,"Sales, government funding, grants and subsidies"
C,Total income
C,Total expenditure
C,Operating profit before tax
C,Total assets
C,Fixed tangible assets
D,Activity unit
D,Rolling mean employees
D,Salaries and wages paid
D,"Sales, government funding, grants and subsidies"
D,Total income
D,Total expenditure
D,Operating profit before tax
D,Total assets
D,Fixed tangible assets
D,Activity unit
D,Rolling mean employees
D,Salaries and wages paid
D,"Sales, government funding, grants and subsidies"
D,Total income
D,Total expenditure
D,Operating profit before tax
D,Total assets
D,Fixed tangible assets
D,Activity unit
D,Rolling mean employees
D,Salaries and wages paid
D,"Sales, government funding, grants and subsidies"
D,Total income
D,Total expenditure
D,Operating profit before tax
D,Total assets
D,Fixed tangible assets
D,Activity unit
D,Rolling mean employees
D,Salaries and wages paid
D,"Sales, government funding, grants and subsidies"
D,Total income
D,Total expenditure
D,Operating profit before tax
D,Total assets
D,Fixed tangible assets
D,Activity unit
D,Rolling mean employees
D,Salaries and wages paid
D,"Sales, government funding, grants and subsidies"
D,Total income
D,Total expenditure
D,Operating profit before tax
D,Total assets
D,Fixed tangible assets
D,Activity unit
D,Rolling mean employees
D,Salaries and wages paid
D,"Sales, government funding, grants and subsidies"
D,Total income
D,Total expenditure
D,Operating profit before tax
D,Total assets
D,Fixed tangible assets
D,Activity unit
D,Rolling mean employees
D,Salaries and wages paid
D,"Sales, government funding, grants and subsidies"
D,Total income
D,Total expenditure
D,Operating profit before tax
D,Total assets
D,Fixed tangible assets
D,Activity unit
D,Rolling mean employees
D,Salaries and wages paid
D,"Sales, government funding, grants and subsidies"
D,Total income
D,Total expenditure
D,Operating profit before tax
D,Total assets
D,Fixed tangible assets
D,Activity unit
D,Rolling mean employees
D,Salaries and wages paid
D,"Sales, government funding, grants and subsidies"
D,Total income
D,Total expenditure
D,Operating profit before tax
D,Total assets
D,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
E,Activity unit
E,Rolling mean employees
E,Salaries and wages paid
E,"Sales, government funding, grants and subsidies"
E,Total income
E,Total expenditure
E,Operating profit before tax
E,Total assets
E,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
F,Activity unit
F,Rolling mean employees
F,Salaries and wages paid
F,"Sales, government funding, grants and subsidies"
F,Total income
F,Total expenditure
F,Operating profit before tax
F,Total assets
F,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
G,Activity unit
G,Rolling mean employees
G,Salaries and wages paid
G,"Sales, government funding, grants and subsidies"
G,Total income
G,Total expenditure
G,Operating profit before tax
G,Total assets
G,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
H,Activity unit
H,Rolling mean employees
H,Salaries and wages paid
H,"Sales, government funding, grants and subsidies"
H,Total income
H,Total expenditure
H,Operating profit before tax
H,Total assets
H,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
I,Activity unit
I,Rolling mean employees
I,Salaries and wages paid
I,"Sales, government funding, grants and subsidies"
I,Total income
I,Total expenditure
I,Operating profit before tax
I,Total assets
I,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
J,Activity unit
J,Rolling mean employees
J,Salaries and wages paid
J,"Sales, government funding, grants and subsidies"
J,Total income
J,Total expenditure
J,Operating profit before tax
J,Total assets
J,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
K,"Sales, government funding, grants and subsidies"
K,Total income
K,Total expenditure
K,Operating profit before tax
K,Total assets
K,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
K,"Sales, government funding, grants and subsidies"
K,Total income
K,Total expenditure
K,Operating profit before tax
K,Total assets
K,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
K,"Sales, government funding, grants and subsidies"
K,Total income
K,Total expenditure
K,Operating profit before tax
K,Total assets
K,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
K,"Sales, government funding, grants and subsidies"
K,Total income
K,Total expenditure
K,Operating profit before tax
K,Total assets
K,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
K,"Sales, government funding, grants and subsidies"
K,Total income
K,Total expenditure
K,Operating profit before tax
K,Total assets
K,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
K,"Sales, government funding, grants and subsidies"
K,Total income
K,Total expenditure
K,Operating profit before tax
K,Total assets
K,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
K,"Sales, government funding, grants and subsidies"
K,Total income
K,Total expenditure
K,Operating profit before tax
K,Total assets
K,Fixed tangible assets
K,Activity unit
K,Rolling mean employees
K,Salaries and wages paid
